Username,location,date,content,Rating
Amber Spencer,US,"Oct 7, 2020Verified","Amazing products, even better customer service.I love their cake stands. They make my pictures look so good! BUT also... their customer service is SO SO amazing. They deserve 100 stars.Date of experience: October 07, 2020",5
Marie Vane  Milien,CA,"Dec 14, 2021Verified","Good productsGood products, the same as the image, good costomer services, always on time. 5 stars service.Date of experience: December 14, 2021",5
Diana Churchwell,US,"Nov 24, 2021Verified","I have not received my itemI have not received my item. Estimated delivery date was Nov 19.Date of experience: November 24, 2021",3
Gabrielle,US,"Apr 26, 2021Verified","It is exactly what I wantedIt is exactly what I wanted. However I thought I was going to find a pretty box inside that I could  gift wrap, since it was a present .Date of experience: April 26, 2021",5
Tonya ,US,"Oct 7, 2020Verified","Beautiful stand!The cake stand I purchased is beautiful, has a nice, hard finish and came in perfect shape.  Thank you!Date of experience: October 07, 2020",5
Teesimos Events ,US,"Oct 14, 2020Verified","Love Amalfi decors cake…I've always loved Amalfi decors cake stands. This time around the red wasn't as bright as I'd liked it to be but I made it work..Date of experience: October 14, 2020",4
Nancy ,US,"Nov 17, 2020Verified","My order came in quickly and was…My order came in quickly and was packaged properly so it wouldn’t be damaged.Date of experience: November 17, 2020",5
Deagre Kelly,BS,"Dec 11, 2020Verified","AwesomeQuick delivery Exactly as advertised And yes it hold bath and body works candles 💕Date of experience: December 11, 2020",5
Brittnee Powell,US,"Apr 8, 2021Verified","Absolutely beautiful and just the touch…Absolutely beautiful and just the touch of class to elevate my cakes.  Thank you. 😊Date of experience: April 08, 2021",5
Phyllis Baddorf,US,"Jun 7, 2021Verified","Great job fulfilling my order so fastGreat job fulfilling my order so fast. Will definitely order from you again.Date of experience: June 07, 2021",5
Ahmed Aldhaheri,AE,"Nov 27, 2020Verified","very nice productvery nice product, excellent packaging, I used them as a stand for my perfumes.Date of experience: November 27, 2020",5
Camilla Pigott,US,"Apr 28, 2021Verified","Love love love my standLove love love my stand! And the shipping was super fast. Will definitely be ordering again.Date of experience: April 28, 2021",5
Dorene Stamper,US,"Jan 30, 2021Verified","They came through very wellThey came through very well, and my order arrived on time and in very good condition.Date of experience: January 30, 2021",5
Marty Burge,US,"Oct 14, 2020Verified","Bought this for my Grandson and his…Bought this for my Grandson and his wife for a wedding present. It was great quality and it was delivered within a week. But best of all, They loved it!Date of experience: October 14, 2020",5
Katie W,US,"Dec 27, 2020Verified","Shipping was fast and chandelier is…Shipping was fast and chandelier is beautiful. Very happy with purchase.Date of experience: December 27, 2020",4
Marika M,US,"Mar 6, 2021Verified","The cake stand was prettier than I…The cake stand was prettier than I expected.  The construction is very sturdy.Date of experience: March 06, 2021",5
LeKecha Watkins,US,"Apr 5, 2022Verified","I love the colorI love the color. Items where packaged well no broken item. I will be purchasing other items.Date of experience: April 05, 2022",5
Camille Macol,PH,"Nov 30, 2020","New CustomerVery satisfied with the product that I received. Hope it will last long. Will surely purchase again in the future.Date of experience: November 30, 2020",5
Danyiell Todd,US,"Mar 7, 2022Verified","I absolutely love the chandeliers that…I absolutely love the chandeliers that I bought from Amalfi Decor. Beautiful!Date of experience: March 07, 2022",5
W,US,"Sep 12, 2021Verified","Love the 2 1/2 crystalsLove the 2 1/2 crystals . I needed to replace one on an antique Candelabra.Date of experience: September 12, 2021",5
Jillian Duffy,CA,"Apr 9, 2021Verified","It was a lot of work to put togetherIt was a lot of work to put together, and it doesn’t show how big on website. Long returns. Not a fan.Date of experience: April 09, 2021",1
Barbara  Marion ,US,"Apr 7, 2021Verified","I'm totally in love with the cake…I'm totally in love with the cake stands I have order 3 so far and waiting on the third one to come inDate of experience: April 07, 2021",5
Esther Oppong,US,"Apr 7, 2021Verified","Great Stand!Item arrived quickly and in perfect condition! Looks beautiful as well.Date of experience: April 07, 2021",5
Jane,US,"Aug 17, 2021Verified","Beautiful cake stand in very protective…Beautiful cake stand in very protective packaging. l Love it.Date of experience: August 17, 2021",5
Generose Guyierrez,US,"Feb 13, 2022Verified","The top of the  cake holder is bent and…The top of the  cake holder is bent and scratched. I need a replacement or refund.Date of experience: February 13, 2022",3
Kimberly,US,"Apr 5, 2021Verified","The cake stands were absolutely…The cake stands were absolutely beautiful, I just love the products...Date of experience: April 05, 2021",5
Maria Garcia,US,"Dec 6, 2020Verified","Happy CustomerArrived here pretty fast. Items are Beautiful. Good quality.Date of experience: December 06, 2020",5
KimO,US,"Mar 13, 2021Verified","This cake holder is so beautifulThis cake holder is so beautiful ! It’s heavy and sturdy enough for any size Cale ! Love the rustic look😊Date of experience: March 13, 2021",5
Teresa J. Leineweber,US,"Jun 11, 2021Verified","Beautiful glass crystal ballsBeautiful glass crystal balls. As ordered. Timely arrival.Date of experience: June 11, 2021",5
Maria Uribe,US,"May 20, 2021Verified","Beautiful cake stands and quick…Beautiful cake stands and quick shipping, will definitely order again soon!Date of experience: May 20, 2021",5
Angelica Mangindin,US,"Nov 9, 2021Verified","Beautiful stand and fast shippingBeautiful stand and fast shipping - very happy with purchase!Date of experience: November 09, 2021",5
Christina,US,"Dec 18, 2021Verified","The most beautiful cake standThe most beautiful cake stand. Excellent quality. Very pleasedDate of experience: December 18, 2021",5
Mavu Grewal,CA,"Oct 7, 2020Verified","Absolutely amazing quality and looksAbsolutely amazing quality and looks. Can’t wait to get moreDate of experience: October 07, 2020",5
Jo AnneDooley,US,"Jan 13, 2022","No problems at allNo problems at all. Came quickly. Beautiful crystalsDate of experience: January 13, 2022",5
Jihan Ahmed,US,"Jan 8, 2021Verified","Great sturdy product and fast deliveryGreat sturdy product and fast delivery. Have yet to see how it holds up over time and as a cake stand but it looks nice!Date of experience: January 08, 2021",5
Joy,US,"Dec 7, 2021Verified","Very pleased with the productVery pleased with the product. Easy to order online also delivery was great. Thank you.Date of experience: December 07, 2021",5
